main_id,name,U,B,V,R,I,G,J,ra,dec,sp_type,sp_qual,otype
"HD  55751",,,6.561,5.343,,,5.009,3.468,108.58359473584,3.11141726386,"K0III",C,"*"
"* sig Cet",,5.19,5.2,4.75,4.34,4.07,4.59498,3.834,38.02178683708334,-15.244674383888889,"F5V",C,"**"
"*  56 Hya",,,6.165,5.229,,,4.96991,3.564,221.93669341313,-26.08750053445,"G8/K0III",D,"*"
"V* V416 Cep",,,8.22,6.96,,,5.64288,2.479,311.75441697393,58.41677219819001,"F8",E,"LP*"
"* alf Scl",,3.52,4.09,4.27,4.3,4.43,4.2656,4.63,14.651497095416666,-29.357451309444446,"B7IIIp",C,"Ro*"
"V* KO Lup",,,8.64,7.1,,,5.50608,2.261,230.53658376043003,-32.18963295662,"M3/4III",D,"LP?"
"V* KO Lup",,,8.64,7.1,,,5.50608,2.261,230.53658376043003,-32.18963295662,"M3/4III",D,"LP?"
"V* RS And",,,9.65,8.38,,,5.72197,1.545,358.84059699049,48.63826316468,,,"Mi*"
"* f UMa",,4.87,4.75,4.48,4.21,4.1,4.3608,4.147,137.21774013541668,51.60464804666667,"kA3VmF5IIISr",C,"PM*"
"V* U Ant",,15.32,8.22,5.38,3.18,1.86,4.18792,1.28,158.80354589478,-39.56259000568,"C-N3",B,"C*"
"* mu. Lup",,3.82,,,,,,4.514,229.63342898615045,-47.87527657942295,"B8Ve",C,"Be*"
"HD 166229",,,6.65,,4.8,,5.16574,3.648,272.00932728378,36.40126564407,"K2III",B,"PM*"
"HD 185351",,,6.109,5.169,,,4.92144,3.654,294.15823686072,44.69493376732,"G8.5IIIbFe-0.5",B,"PM*"
"HD  80170",,,6.473,5.304,,,4.97084,3.52,139.23781750648,-39.40153801375,"K2III",C,"*"
"NGC  3114",,,4.47,4.2,,,,,150.553,-60.041000000000004,,,"OpC"
"IRC +60052","Q 1991/014",,,,,,8.56241,3.89,22.39669320226,65.03497130513,"M7",D,"LP?"
"IRC +60052","Q 1991/014",,,,,,8.56241,3.89,22.39669320226,65.03497130513,"M7",D,"LP?"
"HD   1255",,,8.3,6.49,,,5.3511,2.677,4.19032592247,10.24478092338,"M0",D,"V*"
"*  95 Her B",,,5.99,5.1,,,4.85278,3.033,270.37484989855,21.59539009657,"G5III",C,"*"
"V* UX And",,,10.03,8.69,,,5.6829,1.31,38.369824735419996,45.65449523646,"M6IIIv",C,"LP*"
"* i Her",,8.62,6.68,5.15,,,4.51299,2.37,251.45788311706002,8.58261352458,"K5III",C,"V*"
"* iot Ari",,,6.018,5.105,,,4.7875,3.746,29.3377281775,17.81753340111111,"K1Vp",C,"SB*"
"*  16 Ser",,,6.217,5.253,,,5.01487,3.522,234.12322455623,10.010147053150002,"K0III:CN1Ba0.7Sr2",C,"SB*"
"*  21 LMi",,4.74,4.67,4.49,4.31,4.24,4.3892,4.17,151.8573456575,35.24469346388889,"A7V(n)",C,"dS*"
"* kap Tel",,,6.138,5.173,,,4.9106,3.667,283.16518737220997,-52.10736978301,"G8/K0III",D,"PM*"
"HD  34043",,,6.853,5.494,,,5.03253,3.412,78.68353793816,5.15614675406,"K4III",D,"V*"
"*   9 Aur",,,,,4.8,,4.89898,3.993,76.66929418037,51.59772194409,"F2V",C,"gD*"
"HD  27588",,,6.404,5.332,,,5.01836,3.497,64.81956856717,-44.26791779657,"K2III",C,"PM*"
"V* SU Vel",,,10.2,8.95,,,5.73209,1.175,147.51067583603,-42.02037077383001,"M5(III)",D,"LP*"
"* d Car",,3.42,4.182,4.313,,,4.3076,4.73,130.15428159083334,-59.761001864166666,"B2III",C,"Pu*"
"HD 118904",,,6.711,5.496,,,5.13669,3.388,204.29578186349,71.24224931341,"K2III",D,"*"
"* iot Scl",,,6.169,5.167,,,4.92006,3.639,5.379992740239999,-28.98147020636,"K0III",C,"RG*"
"* psi Leo",,8.93,6.98,5.35,,,4.58082,2.15,145.93294510542,14.02170308319,"M2III",D,"V*"
"HD  87262",,,7.733,6.097,,,5.34218,2.974,150.9207772493,-9.573790038260002,"M0+III",C,"*"
"HD 135534",,,6.877,5.506,,,5.08952,3.38,229.09587775037,-22.39941430414,"K2III",C,"*"
"HD 182477",,,7.092,5.71,,,5.2323,3.242,291.3399787863,-13.89711758326,"K2III",C,"PM*"
"HD  63752",,,7.051,5.598,,,5.15672,3.306,117.54406852993,-9.183441935519998,"K2III",C,"*"
"V* AE Tri",,,8.73,7.26,,,5.56457,2.261,36.29177957782,33.86675297959,"M5:",D,"LP*"
"* omi Lup",,3.59,4.164,4.313,,,4.129,4.776,222.90959537708335,-43.575360151666665,"B5IV",D,"**"
"* ome Gem",,,6.136,5.181,,,4.93373,3.608,105.60324996883,24.2154462533,"G5IIa",C,"Ce*"
"* phi Leo",,,4.654,4.45,,,4.3485,4.318,169.16541498833334,-3.6516047272222223,"A5V",C,"PM*"
"* 104 Aqr",,6.14,5.65,4.83,4.22,3.8,4.60488,3.56,355.44085990105,-17.81653194641,"G2Ib/II",C,"*"
"HD  16024",,,7.334,5.781,,,5.21202,3.183,39.400287798419996,65.74533597132,"K5III",C,"*"
"*  49 Cas",,,6.17,5.22,,,4.96985,3.61,31.381458884050005,76.11506012484,"G8III",C,"*"
"HD 131111",,,6.5,,4.8,,5.17658,3.637,222.62352642599,37.272047529839995,"K0III",C,"PM*"
"*  25 Com",,,7.1,5.66,,,5.18718,3.269,189.24304910843,17.08953469105,"K4III",C,"*"
"V* V1071 Sco",,,8.37,6.58,,,5.50574,2.573,254.45925418833997,-39.1157247275,"M1III",C,"LP*"
"HD  27395",,,,,,,,4.796,65.43947956410724,50.035178989582214,"G3Ib",C,"**"
"* iot PsA",,4.18,4.29,4.34,4.35,4.38,4.31584,4.289,326.2367069546779,-33.02578182224082,"A0IV",C,"SB*"
"HD  25274",,,7.414,5.864,,,5.23651,3.149,61.51326190082,68.67997194344,"K2III",D,"*"
"HD  75605",,,6.059,5.194,,,4.95866,3.683,132.46455656227,-32.78053701398,"G8III",C,"V*"
"IRAS 15330-4706",,,,,,,9.35907,3.616,234.15060439107,-47.27848840838001,,,"*"
"* Y Vel",,,5.39,4.89,,,4.75729,3.912,157.84092029716916,-53.71548360761639,"F9VFe-0.8CH-0.7",C,"PM*"
"* lam Ara",,,5.17,4.77,,,4.63077,4.02,265.09927324399,-49.41558312680999,"F4V",C,"PM*"
"*  10 And",,,7.294,5.789,,,5.21924,3.192,349.96843909617,42.07806989614,"M0III",D,"*"
"HD 210889",,,6.482,5.343,,,5.01595,3.506,333.19926787101,34.60459099330001,"K2-IIIb",C,"PM*"
"*  66 Dra",,,6.6,5.408,,,5.05108,3.505,301.38699146914996,61.99542030332,"K3III",C,"PM*"
"* ksi Scl",,,6.773,5.582,,,5.22342,3.324,15.326147515519999,-38.9165284217,"K1III",C,"PM*"
"V* OY Peg",,,7.96,6.35,,,5.36058,2.837,331.87486050061,18.00071331161,"M1",D,"LP*"
"HD   4585",,,6.992,5.693,,,5.28264,3.198,11.930088297499998,-18.06133799289,"K3III",C,"*"
"HD 172991",,,6.278,5.439,,,5.10042,3.549,281.2381345059599,-39.68618836516,"B9/A1V",D,"*"
"*  42 Aqr",,,6.463,5.333,,,5.02323,3.588,334.2001908858799,-12.831432882360001,"K1III",C,"*"
"HD  99322",,,6.207,5.219,,,4.96895,3.631,171.37272302866,-36.063061943,"K0III",C,"PM*"
"V* V939 Her",,,9.25,7.97,,,5.6718,1.832,257.57719267572,40.689944174050005,,,"LP*"
"HD 145849",,,6.981,5.615,,,5.16097,3.337,242.95023068257,36.42509475828,"K3III",C,"SB*"
"*   9 Boo",,8.16,6.44,5.0,,,4.50357,2.716,209.14242094698,27.492081441400003,"K3III",B,"PM*"
"* b Leo",,,4.452,4.398,,,4.3587,4.315,165.5823990375,20.179840697222225,"kA1VmA3V",C,"Pe*"
"* sig Ser",,,,,4.6,,4.73926,4.287,245.51811756525996,1.02904350912,"A9Ib/II",C,"PM*"
"V* V340 Peg",,,8.9,7.64,,,5.60558,2.069,345.38642622845,32.612995324639996,"M6",D,"LP*"
"HD  18700",,,7.541,5.931,,,5.21706,3.102,45.18392093234,10.87039176483,"K6",D,"PM*"
"V* LL Vir",,,8.57,7.21,,,5.55785,2.29,198.19079838420998,-1.7583911014999998,"M4/5III",D,"LP*"
"HD  90957",,,6.992,5.565,,,5.07795,3.412,157.37072120389,-29.663833224329995,"K3III",C,"PM*"
"* eta Hya",,3.38,4.1,4.3,4.37,4.56,4.2145,4.7,130.80614580291666,3.398662975277778,"B3V",C,"bC*"
"V* GL Mon",,,10.14,8.82,,,5.53877,1.336,98.94387993525,-5.377136747530001,"M6III",C,"LP*"
"* tau UMa",,,5.008,4.64,,,4.56545,4.069,137.7293415982,63.51367121287,"F6IIIn",C,"SB*"
"HD 154733",,,6.871,5.565,,,5.14523,3.344,256.57519517104,22.08415388171,"K3III",B,"PM*"
"*   6 Cas",,,,,6.6,,,3.866,357.209043816141,62.21451602402654,"A2.5(I)+O9.8II",C,"**"
"* kap02 Boo",,,4.74,4.51,,,4.46443,4.21,213.37086532986,51.78996745846,"A7IV",C,"dS*"
"V* T Ari",,,10.29,7.5,,,6.04465,1.53,42.08225083784,17.509381757579998,"M6-8+e",B,"Mi*"
"HD   8810",,,7.449,5.9,,,5.27713,3.164,21.272110744589998,-64.3694760649,"K5III",C,"*"
"*  11 Lib",,6.64,5.92,4.94,,,4.64112,3.2,222.75446675218163,-2.29915029439,"K0III/IV",D,"PM*"
"HD  65662",,,7.266,5.717,,,5.20331,3.3,119.07770136936999,-60.52643508495999,"K3+IIIa",C,"*"
"* bet Men",,,6.298,5.294,,,5.03854,3.594,75.67915861723,-71.3142991719,"G8III",C,"*"
"*  16 Cep",,,,,4.8,,4.90511,4.14,329.81236336400997,73.1798950637,"F5V",C,"PM*"
"*  55 Cam",,,6.352,5.329,,,5.07151,3.477,123.2032840903,68.47407325307,"G7IIb",B,"Pe*"
"[MRC2018] A2744 46.3",,,,,,1.7,,0.7,3.57753,-30.40871,,,"LeG"
"V* QY Ser",,8.98,7.03,5.44,4.18,3.21,4.75233,2.51,238.64421749586,20.31096751605,"K8IIIb",C,"LP*"
"HD  56813",,,7.067,5.622,,,5.16038,3.381,109.06447157274002,-46.77453323223,"K4III",C,"*"
"* phi Cas",,6.15,5.66,4.98,4.34,3.78,4.73611,3.46,20.020485277440002,58.23161323440999,"F0Ia",C,"s*y"
"* pi. CMa",,,5.027,4.664,,,4.56041,4.144,103.90596016133,-20.13649690453,"F1.5V",C,"PM*"
"HD 134270",,,6.55,5.43,,,5.11761,3.456,227.81659721801998,-55.34602997552,"G1/3Ib/II",D,"*"
"HD  67364",,,6.856,5.509,,,5.08913,3.463,121.26545523059002,-53.10792097318,"K3/4III",D,"*"
"V* RV Sgr",,,,7.2,,,8.09284,2.92,276.98367082253,-33.3247986246,"M5e",C,"Mi*"
"HD  55589",,,7.251,5.752,,,5.21675,3.241,108.2799756921,-11.251342213190002,"K4III",C,"*"
"*  26 Aqr",,,7.102,5.641,,,5.17078,3.344,325.54213555265,1.28525415301,"K2(III)",D,"*"
"* kap Lep",,3.92,,,,,,4.418,78.30782336996293,-12.9412906401371,"B7V",E,"**"
"HD 175443",,,6.97,5.62,,,5.18255,3.3,283.55519690051,27.909527258610005,"K4III",D,"PM*"
"*   2 Lyn",,,4.462,4.434,,4.4,4.3882,4.282,94.90576908124999,59.01096340944444,"A2Vs",C,"EB*"
"*  12 Mus",,,5.863,5.095,6.31,,4.7935,3.36,174.87330698166883,-65.39776628420175,"G5/8IIIp+A0/1V",D,"RS*"
"HD  45866",,,7.219,5.72,,,5.20761,3.262,100.12032089396,77.99578274666,"K5III",D,"*"
"V* V485 Pup",,,,,,,8.39124,3.944,117.89159527568002,-35.23478721699,"M7",D,"LP?"
"V* V485 Pup",,,,,,,8.39124,3.944,117.89159527568002,-35.23478721699,"M7",D,"LP?"
"HD 216174",,,6.598,5.439,,,5.06422,3.584,342.44297821452994,55.90277669971,"K1III",C,"PM*"
"* pi. And",,3.65,4.2,4.36,4.4,4.52,4.2661,4.65,9.220205235416667,33.71934399944445,"B5V",C,"SB*"
"* lam Psc",,4.79,4.72,4.51,4.33,4.23,4.4038,4.1,355.51169215916667,1.780041225,"A7V",C,"PM*"
"* gam03 Oct",,,6.329,5.283,,,5.00747,3.579,2.50905204359,-82.22404708058,"K1/2III",D,"*"
"HD 116835",,,7.163,5.656,,,5.19346,3.3,201.73381795377998,-41.49756103088,"K3III",C,"*"
"* eta Lyr","Aladfar",3.58,4.243,4.398,,,4.3256,4.6,288.4395346795833,39.145966691944444,"B2.5IV",C,"SB*"
"HD 114613",,5.86,5.55,4.85,4.28,3.92,4.66234,3.64,198.01326789946205,-37.803022202350824,"G3V",C,"PM*"
"HD 216595",,,7.716,5.984,,,5.31526,3.035,343.26576880228,60.1010309928,"K2V:",D,"*"
"* tau05 Eri",,,4.15,4.25,,,4.25647,4.516,53.44698288227083,-21.63288447691278,"B9V",C,"SB*"
"HD 120913",,,7.199,5.705,,,5.20902,3.31,208.70462658174998,-67.65210149016,"K2III",C,"*"
"*  47 Aur",,,7.327,5.866,,,5.36441,3.109,97.51239077939,46.68555469555,"K4III",D,"*"
"HD  70647",,,7.596,6.001,,,5.37548,3.065,126.17823414674001,42.00523932624001,"K5III",D,"*"
"HD  39225",,,7.65,6.07,,,5.21435,3.069,88.16705422788,33.91746284941999,"M1+IIIFe-1",B,"V*"
"* 102 Her",,3.38,4.177,4.347,,,4.2693,4.848,272.18954757875,20.814557741666665,"B2IV",C,"*"
"HD 128902",,,7.2,5.721,,,5.17379,3.37,219.55245410354996,43.64212726353,"K4III",C,"PM*"
"* eps Men",,,6.802,5.522,,,5.12897,3.463,111.40874478516,-79.09419105881,"K2/3III",D,"*"
"HD 107543",,,7.43,5.884,,,5.33878,3.158,185.48928179755998,-56.37438487446,"K4III+(F)",C,"*"
"HD 213022",,,6.689,5.469,,,5.10987,3.47,336.50343112496995,70.77090340644,"K2III",D,"*"
"HD 183275",,,6.62,5.49,,,5.20505,3.351,292.46744136653,-26.98560541045,"K1/2III",D,"PM*"
"HD  42049",,,7.545,5.904,,,5.27752,3.143,92.38515413698,22.190265009410002,"K4III",D,"V*"
"* tet01 Ser",,,4.74,4.57,,,4.56889,4.16,284.05494665111996,4.20360613639,"A5V",C,"PM*"
"* c Ser",,,6.33,5.369,,,5.12582,3.492,277.42074781306997,-1.98530779712,"K0III",C,"*"
"* mu. Hyi",,,6.256,5.275,,,5.0057,3.64,37.91884605508001,-79.10941608214,"G8III",C,"PM*"
"HD  71095",,,7.227,5.708,,,5.16418,3.355,126.39806880520001,2.10221804871,"K4III",C,"*"
"V* GL Eri",,,8.49,7.13,,,5.65868,2.326,57.68478273952001,-38.98188965912,"M5III",C,"LP*"
"* gam Col",,3.52,4.18,4.36,,,4.2788,4.72,89.38420657,-35.28328202111111,"B2.5IV",C,"Pu*"
"* G Dor",,,6.365,5.341,,,5.02,3.594,83.24820392375,-64.22751775472223,"G8/K0III",D,"SB*"
"* rho Hya",,,4.309,4.337,,,4.2911,4.496,132.1082107329167,5.837813425555555,"A0Vn",C,"*"
"* eps Cet",,,5.33,4.87,,,4.5513,4.04,39.8908225535008,-11.8720976755967,"F5V",C,"SB*"
"*  77 Cet",,,7.126,5.731,,,5.28404,3.245,38.677598518539995,-7.859445169609999,"K2III",C,"PM*"
"* ome Oph",,4.69,4.56,4.45,4.32,4.3,4.3677,4.35,248.03416594708335,-21.466392223611113,"ApSrEuCr",D,"a2*"
"* nu. Lib",,8.7,6.78,5.2,,,4.55637,2.37,226.65665213046998,-16.256818608409997,"K5-III",B,"*"
"HD 103462",,,6.151,5.272,,,5.03388,3.697,178.67724328758376,-25.713884423413056,"G8III",C,"PM*"
"* tet01 Sgr",,3.55,4.22,4.37,,,4.3289,4.69,299.9340764045833,-35.27630692527778,"B3IV",C,"SB*"
"* tau02 Hya",,,4.644,4.548,,,4.47727,4.315,142.99552477361,-1.1846713524799999,"A2V",C,"*"
"HD  95314",,,7.371,5.857,,,5.28138,3.164,165.04872008736,-14.083369171299998,"K5III",C,"*"
"*  23 CVn",,,6.82,5.6,,,5.2212,3.323,200.07896290662998,40.15054653152,"K2II-III",C,"PM*"
"HD   5015",,5.43,5.34,4.8,4.32,4.02,4.63591,3.85,13.2674851758,61.12397202496,"F9V",C,"PM*"
"* ksi UMa A",,,4.79,4.25,,,4.12746,,169.54542151666666,31.52916086111111,"F8.5:V",C,"SB*"
"* j Cen",,3.58,4.16,4.308,,,4.30047,4.803,177.42111389338,-63.788472407499995,"B3V",C,"Be*"
"HD  56031",,9.13,7.42,5.82,,,4.67432,1.84,108.9142893542,7.97774371323,"M4III",D,"V*"
"* h Vir",,,6.19,5.21,,,4.93505,3.768,203.2419649669108,-10.164998630117777,"G8III",C,"PM*"
"* rho Pav",,,5.29,4.849,,,4.7247,3.908,309.39713645333336,-61.52992068194444,"Fm_dD",D,"dS*"
"HD 177389",,,6.205,5.305,,,5.06395,3.658,287.47028379224,-68.42444946059,"K0IV",C,"PM*"
"* tau CMa",,3.26,4.25,4.4,4.44,4.62,4.28214,4.71,109.67702674625,-24.954372583055555,"O9II",C,"SB*"
"*   6 Leo",,7.97,6.44,5.07,,,4.59635,2.72,142.98990418519,9.715765314789998,"K2.5IIIFe-0.5",B,"*"
"HD 102365",,5.65,5.55,4.88,4.35,3.97,4.70168,3.74,176.62946888804873,-40.50035718532611,"G2V",C,"PM*"
"HD  51021",,,8.15,6.5,,,5.43684,2.775,104.3270966542065,37.3947218950261,"M3",D,"V*"
"V* AP Per",,,,,,,9.67388,3.523,57.39468172305,51.06592329686,"M7",D,"Mi*"
"HD  45461",,,7.914,6.278,,,5.46997,2.903,95.75605929588,-63.68313494569999,"M1III",C,"V*"
"HD 199437",,,6.509,5.371,,,5.02658,3.646,311.88939553005,80.55225996903,"K1III",D,"V*"
"HD 160748",,,8.27,6.45,,,5.47889,2.737,265.77859732039997,-33.05128692462001,"M1III",C,"V*"
"*  24 Vul",,,6.248,5.302,,,5.05903,3.547,304.19619278281,24.671101326030005,"G8III",C,"*"
"HD 217403",,,7.096,5.672,,,5.1886,3.346,345.28157700515,-50.95002840957001,"K3III",C,"PM*"
"*  46 Leo",,9.18,7.14,5.46,,,4.58037,2.12,158.04905602062124,14.13726968844528,"M1III",B,"LP*"
"* bet02 Tuc",,,4.649,4.514,,,4.5644,4.32,7.889259602566249,-62.96559275413723,"A3IV",B,"**"
"V* EL Cet",,,6.579,5.568,,,5.13441,3.572,48.109849345440004,6.66088570356,"K1IIIep+A6V",C,"SB*"
"IRAS 10522-7223",,,,,,,9.07667,3.767,163.44142489843,-72.65747139795,,,"*"
"IRAS 16388-3952",,,,,,,8.93693,3.867,250.57866421147997,-39.976445750310006,"O-rich",E,"AB*"
"* phi Boo",,,6.14,5.254,,,4.99686,3.709,234.45665857428997,40.35343467356,"G7III-IVFe-2",B,"PM*"
"V* V523 Mon",,,8.62,7.12,,,5.6295,2.31,104.52964910933,-9.02728172973,"M4",D,"LP*"
"*  13 Mon",,4.3,4.5,4.5,4.4,4.36,4.43791,4.35,98.22594959232,7.33296969762,"A0I",C,"*"
"V* V1483 Aql",,,8.53,7.06,,,5.5789,2.418,306.9422386267,-5.65423057105,"M4III",C,"LP?"
"V* V1483 Aql",,,8.53,7.06,,,5.5789,2.418,306.9422386267,-5.65423057105,"M4III",C,"LP?"
"V* S Ori",,,10.44,7.2,,,7.32737,1.26,82.25371803603,-4.6924340193,"M6.5-7.5e",B,"Mi*"
"*  55 Cyg",,4.83,5.28,4.86,4.41,4.1,4.6731,3.89,312.2345483006,46.11413434584,"B4Ia",C,"s*b"
"*  20 CVn",,,5.01,4.698,,,4.5841,4.059,199.38558721125,40.5726076325,"A9IImF2",C,"dS*"
"V* RR Aql",,,,7.8,7.45,,8.42633,1.67,299.40025702947,-1.8864832001,"M7.5e",B,"Mi*"
"HD 151613",,,5.199,4.837,,,4.72248,3.972,251.32442288184,56.78189999046,"F2V",C,"SB*"
"V* RX Aqr",,,9.46,8.29,,,5.74484,1.73,318.19305885109,-14.392514341600002,"M6III",C,"LP*"
"* lam Lep",,3.03,4.04,4.29,4.41,4.69,4.1705,4.89,79.89385020208333,-13.17678910861111,"B0.5V",C,"*"
"*  92 Leo",,,6.235,5.255,,,5.00227,3.654,175.19611352922,21.3527274384,"K1III",C,"PM*"
"*  14 Aqr",,,8.03,6.46,,,5.44302,2.767,319.07405580855993,-9.2146651598,"M2/3III",D,"LP*"
"HD 217303",,,6.904,5.656,,,5.26322,3.332,345.02412186586,-25.164179953619993,"K0IICNIII",C,"PM*"
"* tau PsA",,,5.4,4.92,,,4.80423,3.93,332.53658414455214,-32.54840841508611,"F6V",C,"PM*"
"*  40 Leo",,,5.24,,4.5,,4.65715,4.037,154.93403005227668,19.470912768482776,"F6IV-V",C,"dS*"
"V* VW Aur",,,10.34,8.81,,,,1.729,94.30988333333333,33.20653055555555,"M6",E,"LP*"
"*  35 Cap",,,7.215,5.76,,,5.27958,3.238,321.81175708289,-21.19621434535,"K3III",C,"*"
"HD  20123",,7.01,6.18,5.03,,,4.6786,3.0,49.05084504459,50.93766810733,"G5Ib-IIa",C,"*"
"* gam02 Del",,,5.26,4.25,4.1,,3.98994,,311.66458259985995,16.124293954090003,"K1IV",D,"PM*"
"V* OO Aps",,,8.26,6.59,,,5.58838,2.677,229.87103192835,-71.79204055948,"M2III",C,"LP*"
"HD 101570",,6.79,6.0,4.92,,,4.58891,3.218,175.22347411844,-62.090101521689995,"G3Ib",C,"*"
"* lam Oct",,,6.04,5.29,,,,3.906,327.72734813237383,-82.71890139568454,"G8/K0III",D,"**"
"*  68 Aqr",,,6.2,5.26,,,4.97413,3.79,341.88801429305,-19.61337475135,"G8III",C,"PM*"
"HD  60318",,,6.366,5.347,,,5.02506,3.554,113.78668011765,30.96091795651,"K0III",D,"**"
"* lam Pic",,,6.275,5.298,,,5.03136,3.698,70.69343169126,-50.481334863389996,"K0/1III",D,"PM*"
"* kap Lep A",,,4.35,4.44,,,4.41965,,78.30782095595,-12.94129245532,,,"*"
"HD 184293",,,6.814,5.54,,,5.15343,3.498,292.83054488142,50.30670510706,"K1III",D,"PM*"
"HD 196737",,,6.599,5.466,,,5.16395,3.495,310.08261634358,-33.431846151840006,"K1III",C,"RG*"
"HD 109317",,,6.39,5.38,,,5.14512,3.501,188.41216454312,33.2475818244,"K0III",C,"*"
"HD 210939",,,6.544,5.359,,,5.02264,3.613,333.0083984651,60.75909785734001,"K1III",C,"*"
"* bet Scl",,3.92,4.28,4.37,4.37,4.44,4.34751,4.63,353.2427529291475,-37.81828488197584,"B9.5IIIpHgMnSi",C,"Er*"
"HD  61603",,,7.458,5.906,,,5.33074,3.135,115.24382743493001,23.01852863277,"K5III",D,"*"
"V* RV Cam",,,9.65,8.2,,,5.89659,1.667,67.67366814335,57.41174563105002,"M4II-III",C,"LP*"
"* sig Pav",,,6.545,5.407,,,5.10309,3.549,312.3257146436,-68.77652112814,"K0III",C,"HB*"
"HD   5445",,,7.82,6.13,,,5.30387,2.976,13.981405079219998,-27.775839561689995,"M1/2III",D,"V*"
"HD 224303",,,7.764,6.166,,,5.3997,2.974,359.17292213645,22.64809340295,"M2III",D,"V*"
"V* OV Ser",,,9.96,8.59,,,5.64299,1.509,231.2297792264395,-2.2351912179207,"M6III",C,"LP*"
"V* CF Cet",,,7.8,6.13,,,5.32114,3.052,2.1395706034200006,-17.57815502503,"M0/1IIICNVp",D,"LP*"
"* bet Crt",,,4.475,4.449,,,4.43358,4.324,167.91449465302,-22.82584804833,"A1V",C,"SB*"
"V* VX Lep",,,8.47,7.03,,,5.53252,2.504,79.87991287943,-25.124188438749997,"M5III",C,"LP*"
"V* RS Sco",,,9.45,6.2,,,7.30868,1.88,253.90757203633999,-45.1029760101,"M6-7e",B,"Mi*"
"* nu.01 Lup",,,5.5,5.0,,,4.85677,3.89,230.53446116810002,-47.927792546899994,"F6III-IV",C,"PM*"
"*   7 Cam",,,4.416,4.433,,4.39,4.3721,4.375,74.321650385,53.75210150138889,"A1V",C,"SB*"
"HD 135438",,,7.535,5.974,,,5.34113,3.108,228.52517788819,31.78784593626,"K5",E,"PM*"
"* m Tau",,5.79,5.65,,4.5,,4.73246,3.62,76.8625232011525,18.645049935707217,"G4V",C,"**"
"*  32 Ori A",,,4.32,4.46,,,4.44283,,82.6960460248,5.9481452814299995,"B5IV",C,"*"
"HD   6953",,,7.281,5.797,,,5.23482,3.302,17.58104230056,25.457762158380003,"K5III-IIIb",B,"PM*"
"IRC +50465",,,,,,,8.64112,3.87,352.3331988285099,51.22308872746001,"M8",D,"LP?"
"IRC +50465",,,,,,,8.64112,3.87,352.3331988285099,51.22308872746001,"M8",D,"LP?"
"* eps Boo B",,6.81,4.853,4.801,,,4.93747,0.65,221.24645736371372,27.07498558868861,"A0V",C,"*"
"V* V1743 Cyg",,9.37,7.6,5.96,,,4.75964,1.71,293.42335852847,49.26231875403,"M4.5III",D,"LP*"
"HD 118799",,,6.909,5.603,,,5.18494,3.465,204.95228436564997,-40.05170740262,"K2/3III",D,"PM*"
"* iot Oph",,3.98,4.3,4.38,,,4.2872,4.761,253.50196463416663,10.165360626388889,"B8V",C,"PM*"
"V* TT Crv",,,8.089,6.494,,,5.453,2.81,185.82861282986997,-11.8121183639,"M2III",C,"LP*"
"*   4 Lac",,4.33,4.67,4.58,4.45,4.35,4.50952,4.3,336.12913122019995,49.47639182907,"A0Ib",C,"*"
"V* V421 Cen",,,,,,,9.87536,3.633,176.93558670015,-46.17718563430001,,,"Mi*"
"* rho02 Cnc",,,6.229,5.225,,,4.96862,3.768,133.91533538552,27.927482181129996,"G8III",C,"*"
"*   9 Lac",,4.98,4.87,4.63,4.41,4.27,4.5173,4.13,339.34340527333336,51.545121761388884,"A9VkA7mA6",C,"PM*"
"* kap Cep",,,4.35,4.4,,,4.38244,4.51,302.22228643703,77.71142098602,"B9III",C,"*"
"HD 189140",,,7.733,6.097,,,5.36412,3.095,300.11035825781,-43.04330427205,"M0II/III",D,"V*"
"* g Cyg",,,6.188,5.217,,,4.9632,3.752,322.36229069333,46.54058554749,"K0-III",C,"PM*"
"* phi And A",,,4.54,4.294,,,,,17.375508599999996,47.24179658888889,,,"*"
"* mu. Oph",,4.53,4.73,4.62,4.44,4.33,4.496,4.23,264.4613045179167,-8.11877079361111,"B8II((Mn))",C,"*"
"* eps CrA",,,5.19,4.83,,,4.7647,4.05,284.68076131022,-37.10732798126,"F4VFe-0.8+",C,"EB*"
"* eta03 For",,,6.741,5.472,,,5.08589,3.629,42.668361603220006,-35.67584996671,"K2III",C,"PM*"
"* phi01 Ori","lambda Ori X-5",3.29,4.26,4.41,4.42,4.59,4.2707,4.807,83.7051584875,9.489579948333331,"B0III",C,"SB*"
"* zet TrA",,,5.446,4.899,,,4.74397,4.11,247.11725943877,-70.08439580831,"F9V",C,"SB*"
"V* V339 Tel",,,8.34,6.87,,,5.62827,2.56,292.98803365427,-54.1652571408,"M4III",C,"LP*"
"* del Sct",,,5.04,4.71,,,4.61272,4.224,280.56844541004,-9.05255247835,"F2II-III",C,"dS*"
"* chi Cen",,3.4,4.155,4.343,,,4.2555,4.881,211.5115343525,-41.17963299444444,"B2V",D,"bC*"
"HD   4398",,,6.48,5.5,,,5.23282,3.472,11.54898309319,-22.522102943590003,"G8/K0III",D,"PM*"
"* kap Ret",,,5.1,4.71,,,4.61846,4.22,52.34448925269125,-62.937528939337504,"F3IV/V",D,"PM*"
"* b01 Cyg",,,6.21,,4.8,,5.14091,3.807,301.5906970720503,35.97246919934528,"G8.5IVa",C,"RS*"
